Nit;Pho;Dox;Ppn;Sst;Chl;Sal
52.33;3.10;253.37;23.84;13.73;11.53;15.63
50.59;3.19;253.26;23.61;13.70;11.44;15.62
108.52;4.30;256.57;21.33;13.62;11.87;15.67
98.55;3.94;256.49;20.17;13.63;11.61;15.72
90.61;3.64;256.32;19.34;13.65;11.32;15.77
84.35;3.32;256.28;19.03;13.66;11.23;15.82
79.15;2.98;256.30;18.77;13.68;11.37;15.87
74.27;2.63;256.36;18.88;13.71;11.71;15.92
69.34;2.28;256.43;19.00;13.73;12.20;15.95
64.20;2.01;256.33;18.87;13.76;12.61;15.98
59.21;1.84;256.03;18.55;13.78;12.79;15.99
54.17;1.77;255.76;17.90;13.78;12.68;15.99
49.57;1.77;255.57;17.10;13.78;12.31;15.98
46.01;1.80;255.41;16.47;13.78;11.86;15.97
44.38;1.86;255.13;15.67;13.78;10.96;15.96
44.08;1.89;254.78;15.00;13.78;10.28;15.94
43.77;1.90;254.54;14.89;13.79;10.19;15.93
43.19;1.90;254.54;15.56;13.82;10.61;15.92
43.22;1.91;254.89;17.48;13.87;11.43;15.90
45.80;1.95;255.31;20.20;13.92;12.41;15.87
51.09;2.02;256.01;23.18;13.98;13.17;15.83
57.26;2.10;256.31;25.32;14.01;13.55;15.77
62.35;2.18;255.99;25.28;14.02;13.31;15.70
65.18;2.28;255.32;24.67;14.02;12.77;15.64
65.36;2.37;254.66;23.77;14.01;12.08;15.58
63.95;2.44;254.05;23.01;13.99;11.45;15.55
61.84;2.50;253.55;22.40;13.96;10.91;15.54
59.47;2.53;253.33;21.76;13.94;10.44;15.57
57.03;2.56;253.16;21.38;13.94;10.07;15.63
54.66;2.59;253.25;21.40;13.93;9.93;15.70
53.04;2.63;253.27;21.57;13.93;9.93;15.75
52.40;2.70;253.27;22.03;13.92;10.12;15.80
52.01;2.76;253.52;22.73;13.91;10.47;15.83
51.69;2.84;253.41;23.29;13.89;10.74;15.84
51.19;2.91;253.50;24.05;13.86;11.07;15.84
50.30;2.99;253.44;24.37;13.83;11.24;15.83
48.86;3.08;253.21;24.40;13.81;11.26;15.82
47.09;3.17;253.03;24.19;13.79;11.20;15.83
44.97;3.25;252.51;23.59;13.78;11.09;15.84
42.64;3.31;252.38;23.55;13.78;11.06;15.86
40.44;3.36;252.19;23.38;13.78;11.03;15.88
38.47;3.40;252.00;23.34;13.79;11.06;15.90
36.66;3.42;252.04;23.59;13.79;11.20;15.93
35.31;3.46;251.71;23.42;13.80;11.26;15.96
34.06;3.51;251.57;23.33;13.82;11.35;15.99
32.29;3.56;251.41;23.87;13.83;11.74;16.02
30.72;3.60;252.80;23.96;13.82;12.16;16.04
29.23;3.69;252.29;23.98;13.80;12.20;16.05
27.50;3.75;252.99;24.42;13.79;12.57;16.05
25.71;3.83;252.53;24.96;13.77;12.80;16.04
110.79;4.11;256.80;19.52;13.67;10.66;15.67
98.90;3.73;256.61;18.63;13.69;10.86;15.72
88.66;3.44;256.39;17.84;13.71;10.85;15.77
80.77;3.19;256.40;17.60;13.73;10.99;15.83
75.13;2.98;256.41;17.76;13.74;11.22;15.88
71.12;2.80;256.39;18.03;13.76;11.46;15.94
68.04;2.60;256.36;18.29;13.79;11.70;15.98
65.03;2.40;256.29;18.40;13.82;11.93;16.01
61.77;2.20;256.13;18.28;13.84;12.08;16.02
58.10;2.04;255.96;17.92;13.85;12.12;16.02
54.05;1.92;255.67;17.52;13.85;12.00;16.01
49.81;1.85;255.50;16.84;13.85;11.80;16.00
46.16;1.83;255.54;16.46;13.85;11.73;15.98
43.86;1.83;255.39;15.91;13.85;11.18;15.97
42.54;1.84;254.96;14.87;13.86;10.52;15.96
41.04;1.82;254.82;14.59;13.87;10.40;15.96
39.34;1.79;254.69;14.87;13.90;10.87;15.95
38.39;1.77;254.86;15.83;13.95;11.58;15.94
39.40;1.79;255.13;17.58;14.01;12.22;15.93
42.45;1.85;255.44;19.75;14.06;12.77;15.91
46.22;1.93;255.68;22.12;14.09;13.11;15.88
49.91;2.02;255.62;23.65;14.11;13.14;15.83
52.64;2.12;255.36;24.09;14.11;12.80;15.79
53.93;2.21;254.72;23.68;14.10;12.22;15.75
53.65;2.28;254.10;22.78;14.09;11.51;15.73
52.36;2.31;253.70;21.93;14.07;10.92;15.74
50.68;2.32;253.48;21.43;14.06;10.40;15.77
49.08;2.33;253.27;20.86;14.06;9.98;15.83
47.66;2.34;253.34;20.65;14.06;9.74;15.88
46.98;2.38;253.24;20.70;14.05;9.64;15.93
47.26;2.47;253.34;20.77;14.04;9.79;15.97
47.89;2.56;253.43;21.57;14.02;10.10;15.99
48.28;2.65;253.61;22.48;14.00;10.53;16.01
48.18;2.73;253.63;23.15;13.98;10.87;16.01
47.36;2.81;253.49;23.79;13.95;11.12;16.01
45.91;2.90;253.41;23.95;13.92;11.23;16.02
44.05;2.99;253.03;23.89;13.91;11.23;16.03
41.67;3.07;252.92;23.68;13.90;11.14;16.04
38.96;3.12;252.75;23.65;13.90;11.16;16.06
36.39;3.16;252.64;23.53;13.90;11.15;16.07
34.17;3.19;252.42;23.50;13.90;11.18;16.09
32.36;3.21;252.30;23.51;13.90;11.24;16.10
31.35;3.25;252.15;23.82;13.90;11.27;16.12
30.75;3.32;251.80;23.60;13.90;11.16;16.14
29.96;3.40;251.59;23.60;13.90;11.17;16.15
28.78;3.48;251.24;23.72;13.88;11.19;16.16
27.34;3.57;251.28;23.61;13.87;11.37;16.17
25.72;3.66;251.26;24.15;13.85;11.61;16.17
24.03;3.73;251.55;24.92;13.83;12.02;16.17
22.22;3.76;251.67;25.90;13.81;12.78;16.17
20.67;3.76;252.62;25.44;13.79;12.94;16.16
19.49;3.78;252.03;24.84;13.77;12.66;16.16
18.68;3.82;252.16;24.65;13.75;12.75;16.14
18.11;3.88;252.07;24.40;13.74;12.89;16.12
17.63;3.95;252.06;23.82;13.73;12.98;16.09
111.67;3.84;257.11;18.56;13.73;9.52;15.65
100.74;3.52;256.92;17.78;13.73;10.00;15.69
90.13;3.24;256.67;17.03;13.75;10.34;15.74
80.43;2.98;256.66;16.75;13.77;10.77;15.80
72.36;2.75;256.72;17.06;13.79;11.25;15.86
66.40;2.57;256.70;17.26;13.80;11.65;15.92
62.57;2.43;256.56;17.41;13.83;11.87;15.98
60.12;2.34;256.42;17.57;13.85;12.00;16.02
58.29;2.25;256.24;17.28;13.88;12.07;16.05
56.52;2.17;256.07;17.23;13.90;12.04;16.06
54.42;2.08;255.92;17.04;13.91;11.94;16.06
51.93;2.00;255.71;16.64;13.92;11.76;16.05
48.79;1.93;255.63;16.33;13.92;11.60;16.04
45.37;1.86;255.71;16.17;13.92;11.72;16.03
42.53;1.81;255.64;15.79;13.93;11.51;16.03
40.35;1.78;255.24;15.07;13.94;10.91;16.03
37.91;1.73;254.91;14.67;13.96;10.74;16.03
35.29;1.67;254.93;14.73;13.99;11.10;16.03
33.34;1.63;254.92;15.13;14.04;11.73;16.03
32.76;1.63;255.04;15.78;14.10;12.20;16.03
33.70;1.67;255.05;16.99;14.14;12.44;16.03
35.63;1.73;255.12;18.35;14.17;12.60;16.01
37.89;1.81;255.04;19.79;14.19;12.59;15.99
40.17;1.88;254.96;21.02;14.20;12.46;15.96
41.90;1.94;254.87;21.21;14.20;12.25;15.94
42.49;1.99;254.56;21.21;14.19;11.86;15.94
42.20;2.02;254.25;20.85;14.18;11.42;15.94
41.63;2.03;253.85;20.21;14.17;10.91;15.97
41.06;2.05;253.56;19.66;14.17;10.41;16.01
40.63;2.07;253.29;18.92;14.17;9.96;16.05
40.80;2.12;253.12;18.65;14.17;9.71;16.09
41.83;2.22;253.09;18.95;14.15;9.63;16.13
43.33;2.34;253.30;20.00;14.13;9.87;16.15
44.65;2.46;253.57;21.32;14.12;10.28;16.17
45.08;2.55;253.69;22.50;14.11;10.75;16.18
44.34;2.62;253.79;23.28;14.09;11.19;16.19
42.68;2.69;253.59;24.13;14.06;11.47;16.19
40.48;2.77;253.50;24.16;14.05;11.58;16.21
37.78;2.84;253.09;24.05;14.04;11.56;16.22
34.71;2.88;253.07;23.97;14.03;11.60;16.23
31.77;2.90;252.81;23.22;14.02;11.63;16.24
29.16;2.90;252.72;23.25;14.02;11.71;16.24
27.25;2.91;252.51;23.29;14.01;11.72;16.25
26.16;2.95;252.40;23.30;14.01;11.69;16.26
25.62;3.02;252.13;23.32;14.00;11.51;16.27
24.99;3.10;251.94;23.15;13.98;11.33;16.27
24.05;3.19;251.73;23.11;13.96;11.25;16.27
23.25;3.31;251.60;23.19;13.94;11.23;16.27
22.26;3.44;251.40;23.44;13.92;11.21;16.27
20.95;3.53;251.48;24.01;13.90;11.38;16.27
19.78;3.62;251.32;24.37;13.88;11.52;16.27
18.28;3.65;250.83;24.07;13.87;11.46;16.27
17.01;3.67;250.75;24.59;13.85;11.44;16.26
16.71;3.73;250.62;24.85;13.83;11.52;16.24
16.91;3.82;250.59;25.27;13.81;11.73;16.20
17.15;3.92;250.75;25.66;13.78;12.00;16.16
16.92;3.97;250.60;24.87;13.73;12.11;16.13
16.18;4.00;249.94;23.54;13.69;11.84;16.12
119.94;3.76;257.50;18.48;13.82;8.41;15.60
111.97;3.56;257.42;17.91;13.79;8.58;15.61
102.03;3.30;257.13;17.25;13.78;9.12;15.64
92.32;3.08;257.00;16.50;13.79;9.78;15.68
82.76;2.83;257.04;16.48;13.81;10.52;15.74
73.56;2.57;257.13;16.72;13.82;11.28;15.81
65.57;2.34;257.15;16.84;13.84;11.88;15.87
59.49;2.17;256.98;16.87;13.85;12.22;15.94
55.28;2.05;256.83;16.79;13.87;12.42;15.99
52.81;1.99;256.61;16.77;13.90;12.53;16.04
51.39;1.96;256.44;16.76;13.92;12.48;16.07
50.50;1.95;256.29;16.69;13.95;12.33;16.09
49.76;1.95;256.14;16.58;13.97;12.12;16.10
48.35;1.93;256.00;16.40;13.98;11.92;16.10
45.95;1.89;255.91;16.21;13.99;11.83;16.10
42.99;1.83;255.97;16.21;13.99;12.02;16.10
40.21;1.77;255.86;15.90;14.00;11.85;16.10
37.70;1.71;255.42;15.29;14.02;11.37;16.11
34.91;1.64;255.15;14.85;14.04;11.10;16.11
31.95;1.57;255.02;14.62;14.08;11.31;16.12
29.16;1.52;255.16;15.13;14.13;11.86;16.14
27.20;1.50;255.31;15.88;14.18;12.42;16.14
26.51;1.53;255.40;16.60;14.22;12.79;16.15
26.84;1.57;255.28;17.33;14.25;12.93;16.14
27.74;1.62;255.24;18.05;14.27;12.98;16.13
29.36;1.67;255.02;18.62;14.28;12.83;16.13
31.25;1.73;254.75;19.05;14.29;12.52;16.13
32.71;1.78;254.54;19.12;14.30;12.12;16.13
33.65;1.81;254.20;18.91;14.30;11.65;16.15
34.22;1.83;253.90;18.57;14.29;11.21;16.17
34.57;1.85;253.51;17.99;14.28;10.75;16.19
34.86;1.87;253.21;17.49;14.28;10.39;16.23
35.57;1.92;253.03;17.09;14.28;10.09;16.26
36.83;2.00;252.87;17.22;14.27;9.89;16.29
38.76;2.13;252.99;18.08;14.25;9.87;16.31
41.00;2.28;253.21;19.25;14.24;10.07;16.33
42.21;2.40;253.48;20.83;14.23;10.52;16.34
41.84;2.47;253.59;22.11;14.22;11.06;16.35
40.14;2.53;253.65;22.80;14.20;11.50;16.35
37.68;2.58;253.38;23.10;14.19;11.70;16.36
34.75;2.64;253.25;22.97;14.17;11.72;16.36
31.52;2.67;253.02;22.79;14.16;11.68;16.36
